id_1,id_2,score,edge_type
5063,6083,0.3377419564519216,ingr-ingr
244,4620,0.09385536578335453,ingr-ingr
2253,6753,0.10787016935214064,ingr-ingr
2813,6228,0.09256871844081098,ingr-ingr
3016,6314,0.12389729521732233,ingr-ingr
1020,2901,0.16705571502382716,ingr-ingr
500,4874,0.3558990858860921,ingr-ingr
5763,6937,0.11741283489061775,ingr-ingr
4485,6741,0.1880940690306442,ingr-ingr
4663,5050,0.2250632239470591,ingr-ingr
3290,3303,0.1282780371803218,ingr-ingr
2048,6787,0.0413027076671495,ingr-ingr
2523,5283,0.3704791587108218,ingr-ingr
743,6434,0.30449586895182523,ingr-ingr
2780,6450,0.2311044537215677,ingr-ingr
4342,6103,0.3668820626271013,ingr-ingr
1353,6131,0.15021334422616886,ingr-ingr
4071,6273,0.11837619039581873,ingr-ingr
3435,5759,0.08423643427478496,ingr-ingr
2617,6131,0.14970562478100458,ingr-ingr
4478,5832,0.029702992519767143,ingr-ingr
5071,6945,0.30783074365247304,ingr-ingr
2474,6075,0.3349357909661772,ingr-ingr
3820,5310,0.11156743214447064,ingr-ingr
2036,3091,0.1315338428772021,ingr-ingr
4821,5675,0.4032209404262403,ingr-ingr
4733,6927,0.062392278046484236,ingr-ingr
2888,5614,0.09102476613396887,ingr-ingr
510,2837,0.1051474005186617,ingr-ingr
3123,4999,0.25943431704236825,ingr-ingr
2396,2556,0.049320077995034316,ingr-ingr
613,5997,0.11562463954141995,ingr-ingr
4221,4576,0.3217743072305454,ingr-ingr
2053,2317,0.340880248717923,ingr-ingr
1364,3847,0.27915630075083875,ingr-ingr
2294,3527,0.3075301578032684,ingr-ingr
3040,4804,0.37490216478483546,ingr-ingr
3743,4020,0.036568301316707436,ingr-ingr
4070,4465,0.17865406493965733,ingr-ingr
3376,5965,0.2840917487577841,ingr-ingr
2801,3985,0.11693331757061955,ingr-ingr
1682,4812,0.20064525706849926,ingr-ingr
2172,5803,0.2704350596158384,ingr-ingr
1239,5777,0.2605028460615399,ingr-ingr
2449,6016,0.11931110556427806,ingr-ingr
6130,6788,0.3214035790100792,ingr-ingr
515,4478,0.11543662974579708,ingr-ingr
2469,5742,0.2292669326488915,ingr-ingr
1509,5684,0.3391759203474074,ingr-ingr
3401,5131,0.25354534764209674,ingr-ingr
4140,7069,0.18380506426653254,ingr-ingr
1845,5937,0.2349909625372659,ingr-ingr
3362,6124,0.16006630709364122,ingr-ingr
433,2770,0.16589325517721956,ingr-ingr
499,6076,0.11002684750449032,ingr-ingr
540,5310,0.2085141474817355,ingr-ingr
1151,5299,0.2905175513850217,ingr-ingr
4719,6207,0.3544915081830942,ingr-ingr
1456,3545,0.16460866958483328,ingr-ingr
6261,6952,0.26588830747455805,ingr-ingr
1972,2035,0.17482632295441794,ingr-ingr
2828,5725,0.2347055372679436,ingr-ingr
5655,6075,0.17655804275664982,ingr-ingr
292,7039,0.14226541374073445,ingr-ingr
4226,4689,0.20466246741245064,ingr-ingr
2750,2939,0.16334019104068928,ingr-ingr
1801,2253,0.11335749058325773,ingr-ingr
4813,6295,0.3231430796664025,ingr-ingr
2555,6708,0.1829256323555905,ingr-ingr
438,6104,0.1991863717392224,ingr-ingr
2496,7033,0.1569957288244987,ingr-ingr
4525,7043,0.1419794048092453,ingr-ingr
2239,4815,0.19780125252230688,ingr-ingr
341,6462,0.09387189808822828,ingr-ingr
259,3743,0.08831772123231292,ingr-ingr
367,3686,0.22501767287336288,ingr-ingr
781,839,0.07941068430580522,ingr-ingr
1006,6711,0.16100446431550006,ingr-ingr
3544,4298,0.24710382916001575,ingr-ingr
370,4161,0.3783828522296372,ingr-ingr
185,6935,0.1806364288931929,ingr-ingr
1041,4997,0.04368336556738653,ingr-ingr
86,4406,0.2054441522479779,ingr-ingr
1974,6171,0.3001767925028844,ingr-ingr
3264,3565,0.2274099594415513,ingr-ingr
4204,6163,0.052975427907985935,ingr-ingr
