id_1,id_2,score,edge_type
5063,6083,0.3377419564519216,ingr-ingr
244,4620,0.0938553657833545,ingr-ingr
2253,6753,0.1078701693521406,ingr-ingr
2813,6228,0.0925687184408109,ingr-ingr
3016,6314,0.1238972952173223,ingr-ingr
1020,2901,0.1670557150238271,ingr-ingr
500,4874,0.3558990858860921,ingr-ingr
5763,6937,0.1174128348906177,ingr-ingr
4485,6741,0.1880940690306442,ingr-ingr
4663,5050,0.2250632239470591,ingr-ingr
3290,3303,0.1282780371803218,ingr-ingr
2048,6787,0.0413027076671495,ingr-ingr
2523,5283,0.3704791587108218,ingr-ingr
743,6434,0.3044958689518252,ingr-ingr
2780,6450,0.2311044537215677,liqr-ingr
4342,6103,0.3668820626271013,ingr-ingr
1353,6131,0.1502133442261688,ingr-ingr
4071,6273,0.1183761903958187,ingr-ingr
3435,5759,0.0842364342747849,ingr-ingr
2617,6131,0.1497056247810045,ingr-ingr
4478,5832,0.0297029925197671,ingr-ingr
5071,6945,0.307830743652473,ingr-ingr
2474,6075,0.3349357909661772,ingr-ingr
3820,5310,0.1115674321444706,ingr-ingr
2036,3091,0.1315338428772021,ingr-ingr
4821,5675,0.4032209404262403,ingr-ingr
4733,6927,0.0623922780464842,ingr-ingr
2888,5614,0.0910247661339688,ingr-ingr
510,2837,0.1051474005186617,ingr-ingr
3123,4999,0.2594343170423682,ingr-ingr
2396,2556,0.0493200779950343,ingr-ingr
613,5997,0.1156246395414199,ingr-ingr
4221,4576,0.3217743072305454,ingr-ingr
2053,2317,0.340880248717923,ingr-ingr
1364,3847,0.2791563007508387,ingr-ingr
2294,3527,0.3075301578032684,ingr-ingr
3040,4804,0.3749021647848354,ingr-ingr
3743,4020,0.0365683013167074,ingr-ingr
4070,4465,0.1786540649396573,ingr-ingr
3376,5965,0.2840917487577841,liqr-ingr
2801,3985,0.1169333175706195,ingr-ingr
1682,4812,0.2006452570684992,ingr-ingr
2172,5803,0.2704350596158384,ingr-ingr
1239,5777,0.2605028460615399,ingr-ingr
2449,6016,0.119311105564278,ingr-ingr
6130,6788,0.3214035790100792,ingr-ingr
515,4478,0.115436629745797,ingr-ingr
2469,5742,0.2292669326488915,ingr-ingr
1509,5684,0.3391759203474074,ingr-ingr
3401,5131,0.2535453476420967,ingr-ingr
4140,7069,0.1838050642665325,ingr-ingr
1845,5937,0.2349909625372659,ingr-ingr
3362,6124,0.1600663070936412,ingr-ingr
433,2770,0.1658932551772195,ingr-ingr
499,6076,0.1100268475044903,ingr-ingr
540,5310,0.2085141474817355,ingr-ingr
1151,5299,0.2905175513850217,ingr-ingr
4719,6207,0.3544915081830942,ingr-ingr
1456,3545,0.1646086695848332,ingr-ingr
6261,6952,0.265888307474558,ingr-ingr
1972,2035,0.1748263229544179,ingr-ingr
2828,5725,0.2347055372679436,ingr-ingr
5655,6075,0.1765580427566498,ingr-ingr
292,7039,0.1422654137407344,ingr-ingr
4226,4689,0.2046624674124506,ingr-ingr
2750,2939,0.1633401910406892,ingr-ingr
1801,2253,0.1133574905832577,ingr-ingr
4813,6295,0.3231430796664025,ingr-ingr
2555,6708,0.1829256323555905,ingr-ingr
438,6104,0.1991863717392224,ingr-ingr
2496,7033,0.1569957288244987,ingr-ingr
4525,7043,0.1419794048092453,ingr-ingr
2239,4815,0.1978012525223068,ingr-ingr
341,6462,0.0938718980882282,ingr-ingr
259,3743,0.0883177212323129,ingr-ingr
367,3686,0.2250176728733628,ingr-ingr
781,839,0.0794106843058052,ingr-ingr
1006,6711,0.1610044643155,ingr-ingr
3544,4298,0.2471038291600157,ingr-ingr
370,4161,0.3783828522296372,ingr-ingr
185,6935,0.1806364288931929,ingr-ingr
1041,4997,0.0436833655673865,ingr-ingr
86,4406,0.2054441522479779,ingr-ingr
1974,6171,0.3001767925028844,ingr-ingr
3264,3565,0.2274099594415513,ingr-ingr
4204,6163,0.0529754279079859,ingr-ingr
781,3963,0.0145849901434407,ingr-ingr
722,4733,0.1651292414127442,ingr-ingr
1506,3169,0.211528322320671,ingr-ingr
2603,6453,0.1503872641506886,ingr-ingr
1444,4821,0.3170623458355305,ingr-ingr
199,2646,0.3744102521006024,ingr-ingr
919,1773,0.2154297255886432,ingr-ingr
126,1729,0.1714922988089857,ingr-ingr
547,6646,0.1666299692985417,ingr-ingr
3492,4357,0.1588669789620076,ingr-ingr
3468,3482,0.2189173246054665,ingr-ingr
1504,1587,0.3642599984533018,ingr-ingr
2797,7035,0.090171151471503,ingr-ingr
2396,2767,0.0582363533185067,ingr-ingr
2290,5190,0.1547050333849163,ingr-ingr
2179,6259,0.1166150006791483,ingr-ingr
3521,6172,0.0466986984428444,ingr-ingr
330,7056,0.2290221363549316,ingr-ingr
2740,3973,0.4083042728045264,ingr-ingr
499,1662,0.0723898354675933,ingr-ingr
939,1773,0.209165291474332,ingr-ingr
1376,5057,0.1783762219823541,ingr-ingr
470,6885,0.2219743033305317,ingr-ingr
5777,6434,0.2584359533532907,ingr-ingr
5580,6546,0.2627877802047835,ingr-ingr
2100,5099,0.1258519459840729,ingr-ingr
1648,2542,0.138540305377242,ingr-ingr
2540,3645,0.1768145067801501,ingr-ingr
4236,4407,0.2521107784368795,ingr-ingr
267,953,0.1177128166047993,ingr-ingr
737,3651,0.260543691374783,ingr-ingr
215,5759,0.1355519055122086,ingr-ingr
2031,2132,0.3976083843107836,ingr-ingr
3557,5777,0.2715394181989374,ingr-ingr
343,1559,0.2069941018320636,ingr-ingr
580,4478,0.1291811254404892,ingr-ingr
1591,4739,0.3922444682444868,ingr-ingr
2990,3965,0.3173134666563621,ingr-ingr
196,4440,0.2798509772506438,ingr-ingr
5441,5578,0.2233145007012601,ingr-ingr
1909,4076,0.0888526573637861,ingr-ingr
5748,6756,0.1379963561628211,ingr-ingr
2539,2956,0.2856641958027312,ingr-ingr
1993,2041,0.5548384969238902,ingr-ingr
1275,5725,0.1177490833410962,ingr-ingr
3125,5614,0.0628190672892393,ingr-ingr
371,5791,0.2853969921148901,ingr-ingr
1368,6398,0.1129249068247822,ingr-ingr
2837,5281,0.2737289913692604,ingr-ingr
5556,6091,0.2924735774410977,liqr-ingr
2454,5166,0.2447939562600318,ingr-ingr
4619,5376,0.1720841970199121,ingr-ingr
4596,6439,0.3630575468245318,ingr-ingr
4292,4364,0.3306671069834402,ingr-ingr
4697,6644,0.0139267049178896,ingr-ingr
3606,4619,0.1665984736940849,ingr-ingr
1020,5937,0.2865752309140647,ingr-ingr
5226,6486,0.3357130320735264,liqr-ingr
4116,6843,0.1612346647914913,ingr-ingr
